asin,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
B00935MD1C,Prestige PRWO 1.8-2 Electric Rice Cooker 1.8L,Prestige,Rice Cooker,1999,4.2,21000,https://m.media-amazon.com/images/I/51tYtyeefNL._SL1500_.jpg,https://www.amazon.in/Prestige-PRWO-1-8-2-700-Watts-Aluminium/dp/B00935MD1C,In Stock,Amazon
B0CTCK93GJ,V-Guard VRC 1.8C Automatic Rice Cooker 1.8L,V-Guard,Rice Cooker,2399,4.2,250,https://m.media-amazon.com/images/I/61zR6nDH7IL._SL1500_.jpg,https://www.amazon.in/V-Guard-VRC-1-8C-Automatic-Functions/dp/B0CTCK93GJ,In Stock,Amazon
B09QGWFL57,Panasonic SR-WA10E Automatic Rice Cooker 1L,Panasonic,Rice Cooker,2199,4.3,9000,https://m.media-amazon.com/images/I/71JyYq4ittL._SL1500_.jpg,https://www.amazon.in/Panasonic-Automatic-Cooker-SR-WA10E-Capacity/dp/B09QGWFL57,In Stock,Amazon
B0F91B6QQM,Pigeon Electric Rice Cooker with Steamer 1.8L,Pigeon,Rice Cooker,1599,4.1,400,https://m.media-amazon.com/images/I/71bRDu4YndL._SL1500_.jpg,https://www.amazon.in/Pigeon-Steamer-Stainless-Measuring-Efficient/dp/B0F91B6QQM,In Stock,Amazon
B015XPMGDK,Panasonic SR-W18GH Automatic Rice Cooker 1.8L,Panasonic,Rice Cooker,3099,4.3,6000,https://m.media-amazon.com/images/I/71OhUQOl1FL._SL1500_.jpg,https://www.amazon.in/Panasonic-SR-W18GH-660-Watt-Automatic-Warmer/dp/B015XPMGDK,In Stock,Amazon
B00W4XFF8S,Preethi Electric Rice Cooker 1.8L,Preethi,Rice Cooker,2499,4.2,1500,https://m.media-amazon.com/images/I/51VD6yPC1LL._SL1080_.jpg,https://www.amazon.in/Preethi-Electric-Anodized-Rustproof-Aluminium/dp/B00W4XFF8S,In Stock,Amazon
B00EDJJ7FS,Philips Viva Collection HD4928/01 Induction Cooktop 2100W,Philips,Induction Cooktop,2999,4.3,23000,https://m.media-amazon.com/images/I/715L3WOq4JL._SL1500_.jpg,https://www.amazon.in/Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS,In Stock,Amazon
B0DP8XB7KH,V-Guard VIC 2.0 BRE Induction Cooktop 2000W,V-Guard,Induction Cooktop,2499,4.2,500,https://m.media-amazon.com/images/I/51WziON4PZL._SL1500_.jpg,https://www.amazon.in/VIC-2-0-BRE-Protection-V-Guard/dp/B0DP8XB7KH,In Stock,Amazon
B0DW9D9CBN,Prestige Induction Cooktop with Automatic Voltage Regulator 2000W,Prestige,Induction Cooktop,2199,4.2,300,https://m.media-amazon.com/images/I/71JkmLpmrYL._SL1500_.jpg,https://www.amazon.in/Prestige-Induction-Protection-Automatic-Regulator/dp/B0DW9D9CBN,In Stock,Amazon
B0832W3B7Q,Pigeon Stovekraft Acer Plus Induction Cooktop 1800W,Pigeon,Induction Cooktop,1699,4.1,12000,https://m.media-amazon.com/images/I/51ojljAHTnL._SL1080_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Acer-Plus-Induction/dp/B0832W3B7Q,In Stock,Amazon
B0CHYTRW32,Bajaj Splendid Induction Cooktop 2000W,Bajaj,Induction Cooktop,2299,4.2,1500,https://m.media-amazon.com/images/I/61edtDHJvhL._SL1500_.jpg,https://www.amazon.in/Bajaj-Splendid-Induction-Cooktop-Switch/dp/B0CHYTRW32,In Stock,Amazon
B00RTBRFKQ,Havells Insta Cook Induction Cooktop 1600W,Havells,Induction Cooktop,2399,4.2,4000,https://m.media-amazon.com/images/I/51iI0N5UKfS._SL1000_.jpg,https://www.amazon.in/Havells-Insta-Cook-Induction-Cooktop/dp/B00RTBRFKQ,In Stock,Amazon
B07MC84QPL,LG 20L Solo Microwave Oven MS2043BP Black with Starter Kit,LG,Microwave Oven,6290,4.4,15000,https://m.media-amazon.com/images/I/51iI0N5UKfS._SL1000_.jpg,https://www.amazon.in/dp/B07MC84QPL,In Stock,Amazon
B016ZLKJSU,IFB 30L Convection Microwave Oven 30BRC2 Black,IFB,Convection Microwave Oven,13990,4.3,7600,https://m.media-amazon.com/images/I/61n-dJ0vUAL._SL1500_.jpg,https://www.amazon.in/dp/B016ZLKJSU,In Stock,Amazon
B07KJR8S2W,Wonderchef 19L Oven Toaster Griller OTG,WONDERCHEF,Oven Toaster Griller,4299,4.1,1900,https://m.media-amazon.com/images/I/71guA8oRgZL._SL1500_.jpg,https://www.amazon.in/dp/B07KJR8S2W,In Stock,Amazon
B09XBLS8XY,Samsung 21L Convection Microwave Oven CE73JD-B1/XTL Black,Samsung,Convection Microwave Oven,9790,4.3,2100,https://m.media-amazon.com/images/I/71gA4rpoc7L._SL1500_.jpg,https://www.amazon.in/dp/B09XBLS8XY,In Stock,Amazon
B09XBMXQ34,Samsung 28L Convection Microwave Oven MC28A5013AK/TL,Samsung,Convection Microwave Oven,12490,4.4,3500,https://m.media-amazon.com/images/I/71XXjl2cZhL._SL1500_.jpg,https://www.amazon.in/dp/B09XBMXQ34,In Stock,Amazon
B07GQZPDG1,AGARO 38L Oven Toaster Griller OTG with Rotisserie & Adjustable Temperature,AGARO,Oven Toaster Griller,8999,4.3,5200,https://m.media-amazon.com/images/I/71AxsBfZv1L._SL1500_.jpg,https://www.amazon.in/dp/B07GQZPDG1,In Stock,Amazon
